source,target,weight,phase,type,sync_component
13_2011,92_2013,0.125,2011,diac,0
192_2011,41_2013,0.125,2011,diac,0
59_2011,249_2013,0.10416666666666667,2011,diac,9
132_2011,65_2013,0.10344827586206896,2011,diac,0
232_2011,249_2013,0.10869565217391304,2011,diac,9
139_2011,108_2013,0.2,2011,diac,0
139_2011,9_2013,0.125,2011,diac,0
139_2011,217_2013,0.125,2011,diac,0
165_2011,164_2013,0.19047619047619047,2011,diac,7
97_2011,9_2013,0.2857142857142857,2011,diac,0
97_2011,65_2013,0.1111111111111111,2011,diac,0
136_2011,133_2013,0.11538461538461539,2011,diac,10
141_2011,164_2013,0.10526315789473684,2011,diac,7
51_2013,33_2015,0.2,2013,diac,0
51_2013,26_2015,0.1,2013,diac,0
29_2013,33_2015,0.3333333333333333,2013,diac,0
92_2013,2_2015,0.25,2013,diac,0
25_2013,50_2015,0.4,2013,diac,0
164_2013,176_2015,0.13333333333333333,2013,diac,7
149_2013,50_2015,0.1,2013,diac,0
249_2013,13_2015,0.10869565217391304,2013,diac,9
41_2013,138_2015,0.11428571428571428,2013,diac,0
41_2013,99_2015,0.14285714285714285,2013,diac,0
64_2013,26_2015,0.1,2013,diac,0
33_2015,216_2017,0.3076923076923077,2015,diac,0
